nombre|regionId|provincixId|createdAt|updatedAt
Arica|1|1|2023-09-24|2023-09-24
Camarones|1|1|2023-09-24|2023-09-24
General Lagos|1|2|2023-09-24|2023-09-24
Putre|1|2|2023-09-24|2023-09-24
Camiña|2|3|2023-09-24|2023-09-24
Colchane|2|3|2023-09-24|2023-09-24
Huara|2|3|2023-09-24|2023-09-24
Pica|2|3|2023-09-24|2023-09-24
Pozo Almonte|2|3|2023-09-24|2023-09-24
Alto Hospicio|2|4|2023-09-24|2023-09-24
Iquique|2|4|2023-09-24|2023-09-24
Antofagasta|3|5|2023-09-24|2023-09-24
Mejillones|3|5|2023-09-24|2023-09-24
Sierra Gorda|3|5|2023-09-24|2023-09-24
Taltal|3|5|2023-09-24|2023-09-24
Calama|3|6|2023-09-24|2023-09-24
Ollagüe|3|6|2023-09-24|2023-09-24
San Pedro de Atacama|3|6|2023-09-24|2023-09-24
María Elena|3|7|2023-09-24|2023-09-24
Tocopilla|3|7|2023-09-24|2023-09-24
Chañaral|4|8|2023-09-24|2023-09-24
Diego de Almagro|4|8|2023-09-24|2023-09-24
Caldera|4|9|2023-09-24|2023-09-24
Copiapó|4|9|2023-09-24|2023-09-24
Tierra Amarilla|4|9|2023-09-24|2023-09-24
Alto del Carmen|4|10|2023-09-24|2023-09-24
Freirina|4|10|2023-09-24|2023-09-24
Huasco|4|10|2023-09-24|2023-09-24
Vallenar|4|10|2023-09-24|2023-09-24
Illapel|5|11|2023-09-24|2023-09-24
Canela|5|11|2023-09-24|2023-09-24
Los Vilos|5|11|2023-09-24|2023-09-24
Salamanca|5|11|2023-09-24|2023-09-24
La Serena|5|12|2023-09-24|2023-09-24
Coquimbo|5|12|2023-09-24|2023-09-24
Andacollo|5|12|2023-09-24|2023-09-24
La Higuera|5|12|2023-09-24|2023-09-24
Paihuano|5|12|2023-09-24|2023-09-24
Vicuña|5|12|2023-09-24|2023-09-24
Ovalle|5|13|2023-09-24|2023-09-24
Combarbalá|5|13|2023-09-24|2023-09-24
Monte Patria|5|13|2023-09-24|2023-09-24
Punitaqui|5|13|2023-09-24|2023-09-24
Río Hurtado|5|13|2023-09-24|2023-09-24
Isla de Pascua|6|14|2023-09-24|2023-09-24
Los Andes|6|15|2023-09-24|2023-09-24
Calle Larga|6|15|2023-09-24|2023-09-24
Rinconada|6|15|2023-09-24|2023-09-24
San Esteban|6|15|2023-09-24|2023-09-24
Quillota|6|16|2023-09-24|2023-09-24
La Calera|6|16|2023-09-24|2023-09-24
Hijuelas|6|16|2023-09-24|2023-09-24
La Cruz|6|16|2023-09-24|2023-09-24
Nogales|6|16|2023-09-24|2023-09-24
Valparaíso|6|17|2023-09-24|2023-09-24
Casablanca|6|17|2023-09-24|2023-09-24
Concón|6|17|2023-09-24|2023-09-24
Juan Fernández|6|17|2023-09-24|2023-09-24
Puchuncaví|6|17|2023-09-24|2023-09-24
Quintero|6|17|2023-09-24|2023-09-24
Viña del Mar|6|17|2023-09-24|2023-09-24
La Ligua|6|18|2023-09-24|2023-09-24
Cabildo|6|18|2023-09-24|2023-09-24
Papudo|6|18|2023-09-24|2023-09-24
Petorca|6|18|2023-09-24|2023-09-24
Zapallar|6|18|2023-09-24|2023-09-24
San Antonio|6|19|2023-09-24|2023-09-24
Algarrobo|6|19|2023-09-24|2023-09-24
Cartagena|6|19|2023-09-24|2023-09-24
El Quisco|6|19|2023-09-24|2023-09-24
El Tabo|6|19|2023-09-24|2023-09-24
Santo Domingo|6|19|2023-09-24|2023-09-24
San Felipe|6|20|2023-09-24|2023-09-24
Catemu|6|20|2023-09-24|2023-09-24
Llaillay|6|20|2023-09-24|2023-09-24
Panquehue|6|20|2023-09-24|2023-09-24
Putaendo|6|20|2023-09-24|2023-09-24
Santa María|6|20|2023-09-24|2023-09-24
Quilpué|6|21|2023-09-24|2023-09-24
Limache|6|21|2023-09-24|2023-09-24
Olmué|6|21|2023-09-24|2023-09-24
Villa Alemana|6|21|2023-09-24|2023-09-24
Talagante|7|22|2023-09-24|2023-09-24
El Monte|7|22|2023-09-24|2023-09-24
Isla de Maipo|7|22|2023-09-24|2023-09-24
Padre Hurtado|7|22|2023-09-24|2023-09-24
Peñaflor|7|22|2023-09-24|2023-09-24
Recoleta|7|23|2023-09-24|2023-09-24
Renca|7|23|2023-09-24|2023-09-24
San Joaquín|7|23|2023-09-24|2023-09-24
San Miguel|7|23|2023-09-24|2023-09-24
San Ramón|7|23|2023-09-24|2023-09-24
Vitacura|7|23|2023-09-24|2023-09-24
La Pintana|7|23|2023-09-24|2023-09-24
La Reina|7|23|2023-09-24|2023-09-24
Las Condes|7|23|2023-09-24|2023-09-24
Lo Barnechea|7|23|2023-09-24|2023-09-24
Lo Espejo|7|23|2023-09-24|2023-09-24
Lo Prado|7|23|2023-09-24|2023-09-24
Macul|7|23|2023-09-24|2023-09-24
Maipú|7|23|2023-09-24|2023-09-24
Ñuñoa|7|23|2023-09-24|2023-09-24
Pedro Aguirre Cerca|7|23|2023-09-24|2023-09-24
Peñalolén|7|23|2023-09-24|2023-09-24
Providencia|7|23|2023-09-24|2023-09-24
Pudahuel|7|23|2023-09-24|2023-09-24
Quilicura|7|23|2023-09-24|2023-09-24
Quinta Normal|7|23|2023-09-24|2023-09-24
Santiago|7|23|2023-09-24|2023-09-24
Cerrillos|7|23|2023-09-24|2023-09-24
Cerro Navia|7|23|2023-09-24|2023-09-24
Conchalí|7|23|2023-09-24|2023-09-24
El Bosque|7|23|2023-09-24|2023-09-24
Estación Central|7|23|2023-09-24|2023-09-24
Huechuraba|7|23|2023-09-24|2023-09-24
Independencia|7|23|2023-09-24|2023-09-24
La Cisterna|7|23|2023-09-24|2023-09-24
La Florida|7|23|2023-09-24|2023-09-24
La Granja|7|23|2023-09-24|2023-09-24
Colina|7|24|2023-09-24|2023-09-24
Lampa|7|24|2023-09-24|2023-09-24
Tiltil|7|24|2023-09-24|2023-09-24
Puente Alto|7|25|2023-09-24|2023-09-24
Pirque|7|25|2023-09-24|2023-09-24
San José de Maipo|7|25|2023-09-24|2023-09-24
San Bernardo|7|26|2023-09-24|2023-09-24
Buin|7|26|2023-09-24|2023-09-24
Calera de Tango|7|26|2023-09-24|2023-09-24
Paine|7|26|2023-09-24|2023-09-24
Melipilla|7|27|2023-09-24|2023-09-24
Alhué|7|27|2023-09-24|2023-09-24
Curacaví|7|27|2023-09-24|2023-09-24
María Pinto|7|27|2023-09-24|2023-09-24
San Pedro|7|27|2023-09-24|2023-09-24
Rancagua|8|28|2023-09-24|2023-09-24
Codegua|8|28|2023-09-24|2023-09-24
Coinco|8|28|2023-09-24|2023-09-24
Coltauco|8|28|2023-09-24|2023-09-24
Doñihue|8|28|2023-09-24|2023-09-24
Graneros|8|28|2023-09-24|2023-09-24
Las Cabras|8|28|2023-09-24|2023-09-24
Machalí|8|28|2023-09-24|2023-09-24
Malloa|8|28|2023-09-24|2023-09-24
Mostazal|8|28|2023-09-24|2023-09-24
Olivar|8|28|2023-09-24|2023-09-24
Peumo|8|28|2023-09-24|2023-09-24
Pichidegua|8|28|2023-09-24|2023-09-24
Quinta de Tilcoco|8|28|2023-09-24|2023-09-24
Rengo|8|28|2023-09-24|2023-09-24
Requínoa|8|28|2023-09-24|2023-09-24
San Vicente|8|28|2023-09-24|2023-09-24
Navidad|8|29|2023-09-24|2023-09-24
Paredones|8|29|2023-09-24|2023-09-24
Pichilemu|8|29|2023-09-24|2023-09-24
La Estrella|8|29|2023-09-24|2023-09-24
Litueche|8|29|2023-09-24|2023-09-24
Marchihue|8|29|2023-09-24|2023-09-24
San Fernando|8|30|2023-09-24|2023-09-24
Chépica|8|30|2023-09-24|2023-09-24
Chimbarongo|8|30|2023-09-24|2023-09-24
Lolol|8|30|2023-09-24|2023-09-24
Nancagua|8|30|2023-09-24|2023-09-24
Palmilla|8|30|2023-09-24|2023-09-24
Peralillo|8|30|2023-09-24|2023-09-24
Placilla|8|30|2023-09-24|2023-09-24
Pumanque|8|30|2023-09-24|2023-09-24
Santa Cruz|8|30|2023-09-24|2023-09-24
Parral|9|31|2023-09-24|2023-09-24
Linares|9|31|2023-09-24|2023-09-24
Colbún|9|31|2023-09-24|2023-09-24
Longaví|9|31|2023-09-24|2023-09-24
Retiro|9|31|2023-09-24|2023-09-24
San Javier|9|31|2023-09-24|2023-09-24
Villa Alegre|9|31|2023-09-24|2023-09-24
Yerbas Buenas|9|31|2023-09-24|2023-09-24
Curicó|9|32|2023-09-24|2023-09-24
Hualañé|9|32|2023-09-24|2023-09-24
Licantén|9|32|2023-09-24|2023-09-24
Molina|9|32|2023-09-24|2023-09-24
Rauco|9|32|2023-09-24|2023-09-24
Romeral|9|32|2023-09-24|2023-09-24
Sagrada Familia|9|32|2023-09-24|2023-09-24
Teno|9|32|2023-09-24|2023-09-24
Vichuquén|9|32|2023-09-24|2023-09-24
Cauquenes|9|33|2023-09-24|2023-09-24
Chanco|9|33|2023-09-24|2023-09-24
Pellugue|9|33|2023-09-24|2023-09-24
Talca|9|34|2023-09-24|2023-09-24
Constitución|9|34|2023-09-24|2023-09-24
Curepto|9|34|2023-09-24|2023-09-24
Empedrado|9|34|2023-09-24|2023-09-24
Maule|9|34|2023-09-24|2023-09-24
Pelarco|9|34|2023-09-24|2023-09-24
Pencahue|9|34|2023-09-24|2023-09-24
Río Claro|9|34|2023-09-24|2023-09-24
San Clemente|9|34|2023-09-24|2023-09-24
San Rafael|9|34|2023-09-24|2023-09-24
Quirihue|10|35|2023-09-24|2023-09-24
Cobquecura|10|35|2023-09-24|2023-09-24
Coelemu|10|35|2023-09-24|2023-09-24
Ninhue|10|35|2023-09-24|2023-09-24
Portezuelo|10|35|2023-09-24|2023-09-24
Ránquil|10|35|2023-09-24|2023-09-24
Treguaco|10|35|2023-09-24|2023-09-24
San Carlos|10|36|2023-09-24|2023-09-24
Coihueco|10|36|2023-09-24|2023-09-24
Ñiquén|10|36|2023-09-24|2023-09-24
San Fabián|10|36|2023-09-24|2023-09-24
San Nicolás|10|36|2023-09-24|2023-09-24
Chillán|10|37|2023-09-24|2023-09-24
Bulnes|10|37|2023-09-24|2023-09-24
Chillán Viejo|10|37|2023-09-24|2023-09-24
El Carmen|10|37|2023-09-24|2023-09-24
Pemuco|10|37|2023-09-24|2023-09-24
Pinto|10|37|2023-09-24|2023-09-24
Quillón|10|37|2023-09-24|2023-09-24
San Ignacio|10|37|2023-09-24|2023-09-24
Yungay|10|37|2023-09-24|2023-09-24
Concepción|11|38|2023-09-24|2023-09-24
Coronel|11|38|2023-09-24|2023-09-24
Chiguayante|11|38|2023-09-24|2023-09-24
Florida|11|38|2023-09-24|2023-09-24
Hualqui|11|38|2023-09-24|2023-09-24
Lota|11|38|2023-09-24|2023-09-24
Penco|11|38|2023-09-24|2023-09-24
San Pedro de la Paz|11|38|2023-09-24|2023-09-24
Santa Juana|11|38|2023-09-24|2023-09-24
Talcahuano|11|38|2023-09-24|2023-09-24
Tomé|11|38|2023-09-24|2023-09-24
Hualpén|11|38|2023-09-24|2023-09-24
Lebu|11|39|2023-09-24|2023-09-24
Arauco|11|39|2023-09-24|2023-09-24
Cañete|11|39|2023-09-24|2023-09-24
Contulmo|11|39|2023-09-24|2023-09-24
Curanilahue|11|39|2023-09-24|2023-09-24
Los Álamos|11|39|2023-09-24|2023-09-24
Tirúa|11|39|2023-09-24|2023-09-24
Cabrero|11|40|2023-09-24|2023-09-24
Yumbel|11|40|2023-09-24|2023-09-24
Los Ángeles|11|40|2023-09-24|2023-09-24
Antuco|11|40|2023-09-24|2023-09-24
Laja|11|40|2023-09-24|2023-09-24
Mulchén|11|40|2023-09-24|2023-09-24
Nacimiento|11|40|2023-09-24|2023-09-24
Negrete|11|40|2023-09-24|2023-09-24
Quilaco|11|40|2023-09-24|2023-09-24
Quilleco|11|40|2023-09-24|2023-09-24
San Rosendo|11|40|2023-09-24|2023-09-24
Santa Bárbara|11|40|2023-09-24|2023-09-24
Tucapel|11|40|2023-09-24|2023-09-24
Alto Bíobio|11|40|2023-09-24|2023-09-24
Angol|12|41|2023-09-24|2023-09-24
Collipulli|12|41|2023-09-24|2023-09-24
Curacautín|12|41|2023-09-24|2023-09-24
Ercilla|12|41|2023-09-24|2023-09-24
Lonquimay|12|41|2023-09-24|2023-09-24
Los Sauces|12|41|2023-09-24|2023-09-24
Lumaco|12|41|2023-09-24|2023-09-24
Purén|12|41|2023-09-24|2023-09-24
Renaico|12|41|2023-09-24|2023-09-24
Traiguén|12|41|2023-09-24|2023-09-24
Victoria|12|41|2023-09-24|2023-09-24
Gorbea|12|42|2023-09-24|2023-09-24
Lautaro|12|42|2023-09-24|2023-09-24
Loncoche|12|42|2023-09-24|2023-09-24
Melipeuco|12|42|2023-09-24|2023-09-24
Nueva Imperial|12|42|2023-09-24|2023-09-24
Padre Las Casas|12|42|2023-09-24|2023-09-24
Perquenco|12|42|2023-09-24|2023-09-24
Pitrufquén|12|42|2023-09-24|2023-09-24
Pucón|12|42|2023-09-24|2023-09-24
Saavedra|12|42|2023-09-24|2023-09-24
Teodoro Schmidt|12|42|2023-09-24|2023-09-24
Toltén|12|42|2023-09-24|2023-09-24
Vilcún|12|42|2023-09-24|2023-09-24
Villarrica|12|42|2023-09-24|2023-09-24
Cholchol|12|42|2023-09-24|2023-09-24
Temuco|12|42|2023-09-24|2023-09-24
Carahue|12|42|2023-09-24|2023-09-24
Cunco|12|42|2023-09-24|2023-09-24
Curarrehue|12|42|2023-09-24|2023-09-24
Freire|12|42|2023-09-24|2023-09-24
Galvarino|12|42|2023-09-24|2023-09-24
Valdivia|13|43|2023-09-24|2023-09-24
Corral|13|43|2023-09-24|2023-09-24
Lanco|13|43|2023-09-24|2023-09-24
Los Lagos|13|43|2023-09-24|2023-09-24
Máfil|13|43|2023-09-24|2023-09-24
Mariquina|13|43|2023-09-24|2023-09-24
Paillaco|13|43|2023-09-24|2023-09-24
Panguipulli|13|43|2023-09-24|2023-09-24
La Unión|13|44|2023-09-24|2023-09-24
Futrono|13|44|2023-09-24|2023-09-24
Lago Ranco|13|44|2023-09-24|2023-09-24
Río Bueno|13|44|2023-09-24|2023-09-24
Quinchao|14|45|2023-09-24|2023-09-24
Castro|14|45|2023-09-24|2023-09-24
Ancud|14|45|2023-09-24|2023-09-24
Chonchi|14|45|2023-09-24|2023-09-24
Curaco de Vélez|14|45|2023-09-24|2023-09-24
Dalcahue|14|45|2023-09-24|2023-09-24
Puqueldón|14|45|2023-09-24|2023-09-24
Queilén|14|45|2023-09-24|2023-09-24
Quellón|14|45|2023-09-24|2023-09-24
Quemchi|14|45|2023-09-24|2023-09-24
Río Negro|14|46|2023-09-24|2023-09-24
Osorno|14|46|2023-09-24|2023-09-24
Puerto Octay|14|46|2023-09-24|2023-09-24
Purranque|14|46|2023-09-24|2023-09-24
Puyehue|14|46|2023-09-24|2023-09-24
San Juan de la Costa|14|46|2023-09-24|2023-09-24
San Pablo|14|46|2023-09-24|2023-09-24
Puerto Montt|14|47|2023-09-24|2023-09-24
Calbuco|14|47|2023-09-24|2023-09-24
Cochamó|14|47|2023-09-24|2023-09-24
Fresia|14|47|2023-09-24|2023-09-24
Frutillar|14|47|2023-09-24|2023-09-24
Los Muermos|14|47|2023-09-24|2023-09-24
Llanquihue|14|47|2023-09-24|2023-09-24
Maullín|14|47|2023-09-24|2023-09-24
Puerto Varas|14|47|2023-09-24|2023-09-24
Chaitén|14|48|2023-09-24|2023-09-24
Futaleufú|14|48|2023-09-24|2023-09-24
Hualaihué|14|48|2023-09-24|2023-09-24
Palena|14|48|2023-09-24|2023-09-24
Aysén|15|49|2023-09-24|2023-09-24
Cisnes|15|49|2023-09-24|2023-09-24
Guaitecas|15|49|2023-09-24|2023-09-24
Lago Verde|15|50|2023-09-24|2023-09-24
Coyhaique|15|50|2023-09-24|2023-09-24
Cochrane|15|51|2023-09-24|2023-09-24
O’Higgins|15|51|2023-09-24|2023-09-24
Tortel|15|51|2023-09-24|2023-09-24
Chile Chico|15|52|2023-09-24|2023-09-24
Río Ibáñez|15|52|2023-09-24|2023-09-24
Porvenir|16|53|2023-09-24|2023-09-24
Primavera|16|53|2023-09-24|2023-09-24
Timaukel|16|53|2023-09-24|2023-09-24
Punta Arenas|16|54|2023-09-24|2023-09-24
Laguna Blanca|16|54|2023-09-24|2023-09-24
Río Verde|16|54|2023-09-24|2023-09-24
San Gregorio|16|54|2023-09-24|2023-09-24
Natales|16|55|2023-09-24|2023-09-24
Torres del Paine|16|55|2023-09-24|2023-09-24
Cabo de Hornos|16|56|2023-09-24|2023-09-24
Antártica|16|56|2023-09-24|2023-09-24