nombre|fecha|lugar|createdAt|updatedAt
Año Nuevo|2024-01-01|Chile|2023-09-24|2023-09-24
Viernes Santo|2024-03-29|Chile|2023-09-24|2023-09-24
Sábado Santo|2024-03-30|Chile|2023-09-24|2023-09-24
Día del Trabajo|2024-05-01|Chile|2023-09-24|2023-09-24
Día de las Glorias Navales|2024-05-21|Chile|2023-09-24|2023-09-24
Elecciones Primarias Alcaldes y Gobernadores|2024-06-09|Chile|2023-09-24|2023-09-24
Día Nacional de los Pueblos Indígenas|2024-06-20|Chile|2023-09-24|2023-09-24
San Pedro y San Pablo|2024-06-29|Chile|2023-09-24|2023-09-24
Día de la Virgen del Carmen|2024-07-16|Chile|2023-09-24|2023-09-24
Asunción de la Virgen|2024-08-15|Chile|2023-09-24|2023-09-24
Independencia Chile|2024-09-18|Chile|2023-09-24|2023-09-24
Día de las Glorias del Ejército|2024-09-19|Chile|2023-09-24|2023-09-24
Feriado añadido de fiestas patrias|2024-09-20|Chile|2023-09-24|2023-09-24
Encuentro de dos mundos|2024-10-12|Chile|2023-09-24|2023-09-24
Elecciones Municipales|2024-10-27|Chile|2023-09-24|2023-09-24
Día de las Iglesias Evangélicas y Protestantes|2024-10-31|Chile|2023-09-24|2023-09-24
Día de todos los Santos|2024-11-01|Chile|2023-09-24|2023-09-24
Inmaculada Concepción|2024-12-08|Chile|2023-09-24|2023-09-24
Navidad|2024-12-25|Chile|2023-09-24|2023-09-24