nombre|regionId|createdAt|updatedAt
Arica|1|2023-09-24|2023-09-24
Parinacota|1|2023-09-24|2023-09-24
El Tamarugal|2|2023-09-24|2023-09-24
Iquique|2|2023-09-24|2023-09-24
Antofagasta|3|2023-09-24|2023-09-24
El Loa|3|2023-09-24|2023-09-24
Tocopilla|3|2023-09-24|2023-09-24
Chañaral|4|2023-09-24|2023-09-24
Copiapó|4|2023-09-24|2023-09-24
Huasco|4|2023-09-24|2023-09-24
Choapa|5|2023-09-24|2023-09-24
Elqui|5|2023-09-24|2023-09-24
Limarí|5|2023-09-24|2023-09-24
Isla de Pascua|6|2023-09-24|2023-09-24
Los Andes|6|2023-09-24|2023-09-24
Quillota|6|2023-09-24|2023-09-24
Valparaíso|6|2023-09-24|2023-09-24
Petorca|6|2023-09-24|2023-09-24
San Antonio|6|2023-09-24|2023-09-24
San Felipe de Aconcagua|6|2023-09-24|2023-09-24
Marga Marga|6|2023-09-24|2023-09-24
Talagante|7|2023-09-24|2023-09-24
Santiago|7|2023-09-24|2023-09-24
Chacabuco|7|2023-09-24|2023-09-24
Cordillera|7|2023-09-24|2023-09-24
Maipo|7|2023-09-24|2023-09-24
Melipilla|7|2023-09-24|2023-09-24
Cachapoal|8|2023-09-24|2023-09-24
Cardenal Caro|8|2023-09-24|2023-09-24
Colchagua|8|2023-09-24|2023-09-24
Linares|9|2023-09-24|2023-09-24
Curicó|9|2023-09-24|2023-09-24
Cauquenes|9|2023-09-24|2023-09-24
Talca|9|2023-09-24|2023-09-24
Itata|10|2023-09-24|2023-09-24
Punilla|10|2023-09-24|2023-09-24
Diguillín|10|2023-09-24|2023-09-24
Concepción|11|2023-09-24|2023-09-24
Arauco|11|2023-09-24|2023-09-24
Bio-Bío|11|2023-09-24|2023-09-24
Malleco|12|2023-09-24|2023-09-24
Cautín|12|2023-09-24|2023-09-24
Valdivia|13|2023-09-24|2023-09-24
Ranco|13|2023-09-24|2023-09-24
Chiloé|14|2023-09-24|2023-09-24
Osorno|14|2023-09-24|2023-09-24
Llanquihue|14|2023-09-24|2023-09-24
Palena|14|2023-09-24|2023-09-24
Aysén|15|2023-09-24|2023-09-24
Coyhaique|15|2023-09-24|2023-09-24
Capitán Prat|15|2023-09-24|2023-09-24
General Carrera|15|2023-09-24|2023-09-24
Tierra del Fuego|16|2023-09-24|2023-09-24
Magallanes|16|2023-09-24|2023-09-24
Última Esperanza|16|2023-09-24|2023-09-24
Antártica Chilena|16|2023-09-24|2023-09-24